rank,score,vendor,slug,model,u_height,category,image_coverage,netbox_path,rationale
"92","30","SonicWall","sonicwall-nsa-4650","NSa 4650","1","network","none","device-types/SonicWall/NSa4650.yaml","network, no image, 1U footprint"
"93","50","Ubiquiti","ubiquiti-unifi-pro-max-16","UniFi Pro Max 16","1","network","none","device-types/Ubiquiti/USW-Pro-Max-16.yaml","network, no image, 1U footprint"
"94","51","MikroTik","mikrotik-crs125-24g-1s-in","CRS125-24G-1S-IN","1","network","none","device-types/MikroTik/CRS125-24G-1S-IN.yaml","network, no image, 1U footprint"
"95","61","APC","apc-ap4434a","AP4434A","1","power","both","device-types/APC/AP4434A.yaml","power, front+rear image, 1U footprint"
"96","49","Eaton","eaton-tripp-lite-smart2200crmxl","Tripp Lite SMART2200CRMXL","4","power","both","device-types/Eaton/Tripp-Lite-SMART2200CRMXL.yaml","power, front+rear image"
"97","30","Vertiv","vertiv-gxt5-3000irt2uxl","GXT5-3000IRT2UXL","2","power","none","device-types/Vertiv/GXT5-3000IRT2UXL.yaml","power, no image, 2U footprint"
"98","41","Dell","dell-powerswitch-n1124p-on","PowerSwitch N1124P-ON","1","network","none","device-types/Dell/PowerSwitch-N1124P-ON.yaml","network, no image, 1U footprint"
"99","40","Supermicro","supermicro-sys-5019p-wtr","SuperServer 5019P-WTR","1","server","none","device-types/Supermicro/SYS-5019P-WTR.yaml","server, no image, 1U footprint"
"100","51","HPE","hpe-aruba-2930m-24g","Aruba 2930M-24G","1","server","both","device-types/HPE/Aruba-2930M-24G.yaml","server, front+rear image, 1U footprint"
"101","40","Netgear","netgear-prosafe-gsm7328sv1","ProSafe GSM7328Sv1","1","network","none","device-types/Netgear/GSM7328Sv1.yaml","network, no image, 1U footprint"
"102","43","Fortinet","fortinet-fs-424e-poe","FortiSwitch 424E-POE","1","network","both","device-types/Fortinet/FS-424E-POE.yaml","network, front+rear image, 1U footprint"
"103","40","Palo Alto","palo-alto-pa-5220","PA-5220","3","network","both","device-types/Palo Alto/PA-5220.yaml","network, front+rear image"
"104","41","Juniper","juniper-ex4000-12t","EX4000-12T","1","network","both","device-types/Juniper/EX4000-12T.yaml","network, front+rear image, 1U footprint"
"105","41","Cisco","cisco-c1300-16xts","Catalyst 1300-16XTS","1","network","both","device-types/Cisco/C1300-16XTS.yaml","network, front+rear image, 1U footprint"
"106","41","Arista","arista-dcs-7050cx3-32s-f","DCS-7050CX3-32S-F","1","network","both","device-types/Arista/DCS-7050CX3-32S-F.yaml","network, front+rear image, 1U footprint"
"107","30","SonicWall","sonicwall-nsa-4700","NSa 4700","1","network","none","device-types/SonicWall/NSa4700.yaml","network, no image, 1U footprint"
"108","50","Ubiquiti","ubiquiti-unifi-pro-max-16-poe","UniFi Pro Max 16 PoE","1","network","none","device-types/Ubiquiti/USW-Pro-Max-16-PoE.yaml","network, no image, 1U footprint"
"109","51","MikroTik","mikrotik-crs125-24g-1s-rm","CRS125-24G-1S-RM","1","network","none","device-types/MikroTik/CRS125-24G-1S-RM.yaml","network, no image, 1U footprint"
"110","61","APC","apc-ap4450a","AP4450A","1","power","both","device-types/APC/AP4450A.yaml","power, front+rear image, 1U footprint"
"111","41","Eaton","eaton-tripp-lite-pduh20hvl6","Tripp Lite PDUH20HVL6","1","power","none","device-types/Eaton/Tripp-Lite-PDUH20HVL6.yaml","power, no image, 1U footprint"
"112","30","Vertiv","vertiv-sa1-01002","SA1-01002","1","power","none","device-types/Vertiv/SA1-01002.yaml","power, no image, 1U footprint"
"113","41","Dell","dell-powerswitch-n1524","PowerSwitch N1524","1","network","none","device-types/Dell/PowerSwitch-N1524.yaml","network, no image, 1U footprint"
"114","40","Supermicro","supermicro-sys-5019s-m","SuperServer 5019S-M","1","server","none","device-types/Supermicro/SYS-5019S-M.yaml","server, no image, 1U footprint"
"115","51","HPE","hpe-aruba-2930m-48g","Aruba 2930M-48G","1","server","both","device-types/HPE/Aruba-2930M-48G.yaml","server, front+rear image, 1U footprint"
"116","40","Netgear","netgear-prosafe-gsm7328sv2","ProSafe GSM7328Sv2","1","network","none","device-types/Netgear/GSM7328Sv2.yaml","network, no image, 1U footprint"
"117","43","Fortinet","fortinet-fs-t1024e","FortiSwitch T1024E","1","network","both","device-types/Fortinet/FS-T1024E.yaml","network, front+rear image, 1U footprint"
"118","40","Palo Alto","palo-alto-pa-5250","PA-5250","3","network","both","device-types/Palo Alto/PA-5250.yaml","network, front+rear image"
"119","41","Juniper","juniper-ex4000-24mp","EX4000-24MP","1","network","both","device-types/Juniper/EX4000-24MP.yaml","network, front+rear image, 1U footprint"
"120","41","Cisco","cisco-c1300-24mgp-4x","Catalyst 1300-24MGP-4X","1","network","both","device-types/Cisco/C1300-24MGP-4X.yaml","network, front+rear image, 1U footprint"
"121","41","Arista","arista-dcs-7050cx4m-48d8-f","DCS-7050CX4M-48D8-F","1","network","both","device-types/Arista/DCS-7050CX4M-48D8-F.yaml","network, front+rear image, 1U footprint"
"122","30","SonicWall","sonicwall-nsa-5650","NSa 5650","1","network","none","device-types/SonicWall/NSa5650.yaml","network, no image, 1U footprint"
"123","51","MikroTik","mikrotik-crs212-1g-10s-1s-plus-in","CRS212-1G-10S-1S+IN","1","network","none","device-types/MikroTik/CRS212-1G-10S-1S-Plus-IN.yaml","network, no image, 1U footprint"
"124","61","APC","apc-ap4450aj","AP4450AJ","1","power","both","device-types/APC/AP4450AJ.yaml","power, front+rear image, 1U footprint"
"125","41","Eaton","eaton-tripp-lite-pdumh15ats","Tripp Lite PDUMH15ATS","1","power","none","device-types/Eaton/Tripp-Lite-PDUMH15ATS.yaml","power, no image, 1U footprint"
"126","41","Dell","dell-powerswitch-n1524p","PowerSwitch N1524P","1","network","none","device-types/Dell/PowerSwitch-N1524P.yaml","network, no image, 1U footprint"
